product_id,brand,model,size,price,currency,size_format
13678138,Nike,SB What The Dunk sneakers,default,42749.0,EUR,US Men
13678138,Nike,SB What The Dunk sneakers,default,42749.0,EUR,US Men
16916440,Jordan,"Air Jordan 1 Retro High ""Legend of the Summer"" sneakers",default,31190.0,EUR,US Men
16857415,Jordan,"Jordan 1 Retro High ""Legends of The Summer"" sneakers",default,31190.0,EUR,US Men
15757453,Jordan,Air Jordan 1 Retro sneakers,default,31190.0,EUR,US Men
17523560,Jordan,Air Jordan 1 Retro OG sneakers,default,31188.0,EUR,US Men
14477850,Nike,Air Yeezy sneakers,6.5,51299.0,EUR,US Men
14477850,Nike,Air Yeezy sneakers,13,34199.0,EUR,US Men
14477850,Nike,Air Yeezy sneakers,default,29924.0,EUR,US Men
14919576,Jordan,Air Jordan 5 Retro Transformers - Black Ops sneakers,default,23921.0,EUR,US Men
15182301,Nike,Dunk high-top sneakers,default,23392.0,EUR,US Men
12960350,Nike,Air Yeezy 2 NRG,9.5,21756.0,EUR,US Men
12960350,Nike,Air Yeezy 2 NRG,10,28069.0,EUR,US Men
12960350,Nike,Air Yeezy 2 NRG,default,9809.0,EUR,US Men
14164675,Nike,Air Yeezy 2 NRG sneakers,default,17846.0,EUR,US Men
17635980,Jordan,x Dior Air Jordan 1 Low sneakers,default,17154.0,EUR,US Men
13515382,adidas,x Pharrell Williams NMD sneakers,7.5,23939.0,EUR,by Pharrell Williams UK
13515382,adidas,x Pharrell Williams NMD sneakers,10,23939.0,EUR,by Pharrell Williams UK
13515382,adidas,x Pharrell Williams NMD sneakers,default,17100.0,EUR,by Pharrell Williams UK
14878808,Salvatore Ferragamo,classic Oxford shoes,default,16357.0,EUR,US
17240739,adidas,x Pharrell Williams Humanrace NMD sneakers,default,15730.0,EUR,UK
16857417,Jordan,Air Jordan 1 Retro High OG sneakers,default,15595.0,EUR,US Men
14377818,Jordan,Air Jordan 3 Retro sneakers,default,15595.0,EUR,US Men
14164763,Nike,Dunk Low Pro SB sneakers,default,15595.0,EUR,US Men
18174450,Nike,"Dunk Low Premium ""Teen Wolf"" sneakers",13,15595.0,EUR,US Men
18174450,Nike,"Dunk Low Premium ""Teen Wolf"" sneakers",default,15593.0,EUR,US Men
17444925,Nike,x Supreme SB Dunk Low Pro sneakers,default,15593.0,EUR,US Men
18201000,Nike,SB Dunk Low Pro sneakers,default,15388.0,EUR,US Men
17239588,Jordan,Air Jordan 1 Retro sneakers,default,14815.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,5,34309.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,6,30410.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,7.5,20741.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,8,27291.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,8.5,18479.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,9.5,14656.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,10,18403.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,10.5,17154.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,11.5,24566.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,12,15103.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,13,34309.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,14,24172.0,EUR,US Men
15624504,Jordan,x Dior Air Jordan 1 High sneakers,default,14618.0,EUR,US Men
12959919,Nike X Off-White,The 10: Air Jordan 1 off-white - Chicago,8,15593.0,EUR,US Men
12959919,Nike X Off-White,The 10: Air Jordan 1 off-white - Chicago,10,16063.0,EUR,US Men
12959919,Nike X Off-White,The 10: Air Jordan 1 off-white - Chicago,12,15595.0,EUR,US Men
12959919,Nike X Off-White,The 10: Air Jordan 1 off-white - Chicago,13,20272.0,EUR,US Men
12959919,Nike X Off-White,The 10: Air Jordan 1 off-white - Chicago,default,14058.0,EUR,US Men
13685525,Nike X Off-White,Air Force 1 '07 sneakers,default,14028.0,EUR,US Men
18152500,Nike,x Patta Air Max 1 Premium sneakers,default,13678.0,EUR,US Men
18151561,Nike,Air Max 1 Premium sneakers,default,13678.0,EUR,US Men
14164753,Nike,Air AMS Max sneakers,default,13256.0,EUR,US Men
13685529,Nike X Off-White,Air Force 1 '07 Virgil x MoMa sneakers,10.5,25966.0,EUR,US Men
13685529,Nike X Off-White,Air Force 1 '07 Virgil x MoMa sneakers,default,13201.0,EUR,US Men
14274463,Jordan,Air Jordan 1 Retro High OG NRG sneakers,default,12825.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,6,17154.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,7,16503.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,7.5,17154.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,8.5,14035.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,9,14035.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,9.5,13256.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,11,14035.0,EUR,US Men
17524337,Nike,x Cactus Plant Flea Market x Swarovski Dunk Low sneakers,default,12476.0,EUR,US Men
15946087,Nike,Dunk Low Premium SB sneakers,default,12474.0,EUR,US Men
16781948,Jordan,Air Jordan 1 Retro High OG ‘UNC’ sneakers,default,12468.0,EUR,US Men
17444924,Nike,x Supreme SB Dunk High Pro sneakers,default,11696.0,EUR,US Men
14164808,Nike,Kyrie 4 TV PE 11 sneakers,default,11968.0,EUR,US Men
15944662,Nike,SB Dunk High Pro sneakers,default,11115.0,EUR,US Men
17240763,Nike,Lebron 9 Low sneakers,default,10972.0,EUR,US Men
15685501,Nike,SB Dunk High sneakers,default,10916.0,EUR,US Men
15617418,Jordan,Air Jordan 5 Retro T23 sneakers ,default,10916.0,EUR,US Men
15944481,Nike,SB Dunk Low Pro sneakers ,default,10915.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,8.5,15593.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,9,14815.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,9.5,10916.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,11.5,10915.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,13,15595.0,EUR,US Men
12959911,Jordan,Air Jordan 1 Retro High OG Fragment,default,10137.0,EUR,US Men
12960340,Nike,Mars Yard / TS sneakers,10,12786.0,EUR,US Men
12960340,Nike,Mars Yard / TS sneakers,default,9978.0,EUR,US Men
13159066,Nike X Off-White,Air Jordan NRG sneakers,8,9978.0,EUR,US Men
13159066,Nike X Off-White,Air Jordan NRG sneakers,14,9357.0,EUR,US Men
13159066,Nike X Off-White,Air Jordan NRG sneakers,15,9357.0,EUR,US Men
13159066,Nike X Off-White,Air Jordan NRG sneakers,default,7328.0,EUR,US Men
16835124,Nike,SB Dunk Low sneakers,default,9355.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,6.5,13998.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,7.5,10651.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,8.5,11605.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,9,11112.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,9.5,12476.0,EUR,US Men
15651284,Jordan,x Dior Air Jordan 1 Low sneakers,10,15284.0,EUR,US Men
